nodes	trait1
n27427	32.6667|33.8068
internal_node_18371	33.5844|34.4241
n27431	32.7072|33.6529
n27432	32.9765|34.0157
186828+81852	33.5046|34.4212
n27434	32.3576|33.3257
n27435	34.3084|35.6584
n27439	31.9145|32.8585
n27440	31.4458|32.8114
n27441	32.0114|32.847
n27442	30.296|31.1622
n27443	30.7881|31.6094
n27444	28.8925|29.7488
n27445	28.2244|29.3659
n27446	27.8424|28.9313
n27447	29.2181|30.7819
n27507	26.88|27.9904
n27534	22.4607|23.0919
n27560	29.5555|30.8042
n27561	29.6284|30.8725
internal_node_18640	35.3578|36.6456
n27577	36.7494|37.2506
n27583	35.2595|36.0959
n27584	34.0383|35.1779
internal_node_18725	34.58|35.8302
n27629	28.6722|30.1968
n27630	24.7728|26.4459
n27633	34.8062|35.9017
n27634	37.4167|38.404
n27637	38.1314|39.1979
n27638	38.959|39.7634
n27640	36.709|37.291
n27641	36.7195|37.2805
n27642	36.6518|37.3482
n27647	40.4587|41.3327
n27652	36.7708|37.2292
n27653	36.5191|37.4809
n27655	36.8367|37.1633
n27674	32.0955|33.0362
n27676	31.223|31.7894
n27677	29.2024|29.5423
n27730	36.3185|37.6815
n27747	29.9597|31.1314
n27748	26.2668|28.1137
internal_node_19038	26.1409|27.3529
n27750	23.2081|24.5452
n27751	21.543|22.2144
n27752	24.1908|25.026
n27753	28.5584|29.3373
n27760	22.0647|22.3744
n27785	32.086|32.8648
n27787	30.0867|30.8967
n27788	30.3272|31.4261
n27793	30.7314|31.7173
n27811	32.486|33.34
n27812	34.5828|35.6708
n27814	33.0456|34.0898
n27820	33.2378|34.3912
n27824	32.8221|34.0082
internal_node_19255	36.1457|37.1065
n27845	35.8177|36.5161
n27846	35.125|36.1919
n27847	36.5821|37.3634
n27848	36.1728|37.6478
n27852	35.7757|37.3698
internal_node_19268	36.0863|36.7856
n27854	36.6175|37.3825
n27855	36.5577|37.4423
n27856	36.3835|37.6165
n27860	36.4763|37.5237
n27869	36.5324|37.4676
n27883	36.3864|37.6136
n27889	36.3247|37.6753
n27905	36.4675|37.5325
n27910	36.5335|37.4665
n27912	36.4445|37.5555
n27913	36.4985|37.5015
n27915	36.3029|37.6971
n27917	36.6443|37.3557
n27919	36.5931|37.4069
n27922	36.6357|37.3643
n27923	36.7713|37.2287
n27924	36.7459|37.2541
n27925	36.6539|37.3461
n27936	36.5976|37.4024
n27949	36.4806|37.5194
n27950	36.674|37.326
n27967	35.1909|36.1902
n27971	33.8409|34.2113
n27972	30.4244|30.776
n27974	36.9269|37.0731
n27979	36.8442|37.1558
n28012	36.528|37.472
n28013	36.6063|37.3937
n28014	36.6546|37.3454
n28024	36.5913|37.4087
n28025	29.2397|30.7603
n28032	36.7367|37.2633
n28093	30.1748|31.7167
n28098	29.7482|30.2518
n28110	36.3016|37.6984
n28111	36.2998|37.7002
n28125	34.6249|35.7133
186827	32.8839|34.1907
n28127	36.2436|37.7564
n28152	36.6179|37.3821
internal_node_19987	32.5869|33.4087
n28169	34.7499|35.5912
n28170	32.7065|33.5827
n28171	34.7981|35.1268
n28172	33.3549|33.7231
n28176	29.6442|29.9891
n28177	17.3047|17.6659
