Attribute_group	Rank	Fold	Attribute	PosNeg	n
growth_temperature	species	Fold9	thermophile	TN	303
growth_temperature	strain	Fold1	hyperthermophile	TP	10
growth_temperature	strain	Fold1	hyperthermophile	FP	0
growth_temperature	strain	Fold1	hyperthermophile	FN	3
growth_temperature	strain	Fold1	hyperthermophile	TN	391
growth_temperature	strain	Fold1	mesophile	TP	339
growth_temperature	strain	Fold1	mesophile	FP	0
growth_temperature	strain	Fold1	mesophile	FN	12
growth_temperature	strain	Fold1	mesophile	TN	53
growth_temperature	strain	Fold1	psychrophile	TP	19
growth_temperature	strain	Fold1	psychrophile	FP	0
growth_temperature	strain	Fold1	psychrophile	FN	13
growth_temperature	strain	Fold1	psychrophile	TN	372
growth_temperature	strain	Fold1	thermophile	TP	6
growth_temperature	strain	Fold1	thermophile	FP	0
growth_temperature	strain	Fold1	thermophile	FN	3
growth_temperature	strain	Fold1	thermophile	TN	395
growth_temperature	strain	Fold10	hyperthermophile	TP	19
growth_temperature	strain	Fold10	hyperthermophile	FP	0
growth_temperature	strain	Fold10	hyperthermophile	FN	0
growth_temperature	strain	Fold10	hyperthermophile	TN	384
growth_temperature	strain	Fold10	mesophile	TP	328
growth_temperature	strain	Fold10	mesophile	FP	0
growth_temperature	strain	Fold10	mesophile	FN	15
growth_temperature	strain	Fold10	mesophile	TN	60
growth_temperature	strain	Fold10	psychrophile	TP	13
growth_temperature	strain	Fold10	psychrophile	FP	0
growth_temperature	strain	Fold10	psychrophile	FN	13
growth_temperature	strain	Fold10	psychrophile	TN	377
growth_temperature	strain	Fold10	thermophile	TP	10
growth_temperature	strain	Fold10	thermophile	FP	0
growth_temperature	strain	Fold10	thermophile	FN	5
growth_temperature	strain	Fold10	thermophile	TN	388
growth_temperature	strain	Fold2	hyperthermophile	TP	17
growth_temperature	strain	Fold2	hyperthermophile	FP	0
growth_temperature	strain	Fold2	hyperthermophile	FN	2
growth_temperature	strain	Fold2	hyperthermophile	TN	385
growth_temperature	strain	Fold2	mesophile	TP	337
growth_temperature	strain	Fold2	mesophile	FP	0
growth_temperature	strain	Fold2	mesophile	FN	6
growth_temperature	strain	Fold2	mesophile	TN	61
growth_temperature	strain	Fold2	psychrophile	TP	19
growth_temperature	strain	Fold2	psychrophile	FP	0
growth_temperature	strain	Fold2	psychrophile	FN	13
growth_temperature	strain	Fold2	psychrophile	TN	372
growth_temperature	strain	Fold2	thermophile	TP	4
growth_temperature	strain	Fold2	thermophile	FP	0
growth_temperature	strain	Fold2	thermophile	FN	6
growth_temperature	strain	Fold2	thermophile	TN	394
growth_temperature	strain	Fold3	hyperthermophile	TP	17
growth_temperature	strain	Fold3	hyperthermophile	FP	0
growth_temperature	strain	Fold3	hyperthermophile	FN	0
growth_temperature	strain	Fold3	hyperthermophile	TN	386
growth_temperature	strain	Fold3	mesophile	TP	338
growth_temperature	strain	Fold3	mesophile	FP	0
growth_temperature	strain	Fold3	mesophile	FN	10
growth_temperature	strain	Fold3	mesophile	TN	55
growth_temperature	strain	Fold3	psychrophile	TP	13
growth_temperature	strain	Fold3	psychrophile	FP	0
growth_temperature	strain	Fold3	psychrophile	FN	17
growth_temperature	strain	Fold3	psychrophile	TN	373
growth_temperature	strain	Fold3	thermophile	TP	5
growth_temperature	strain	Fold3	thermophile	FP	0
growth_temperature	strain	Fold3	thermophile	FN	3
growth_temperature	strain	Fold3	thermophile	TN	395
growth_temperature	strain	Fold4	hyperthermophile	TP	18
growth_temperature	strain	Fold4	hyperthermophile	FP	0
growth_temperature	strain	Fold4	hyperthermophile	FN	4
growth_temperature	strain	Fold4	hyperthermophile	TN	381
growth_temperature	strain	Fold4	mesophile	TP	330
growth_temperature	strain	Fold4	mesophile	FP	0
growth_temperature	strain	Fold4	mesophile	FN	7
growth_temperature	strain	Fold4	mesophile	TN	66
growth_temperature	strain	Fold4	psychrophile	TP	18
growth_temperature	strain	Fold4	psychrophile	FP	0
growth_temperature	strain	Fold4	psychrophile	FN	12
growth_temperature	strain	Fold4	psychrophile	TN	373
growth_temperature	strain	Fold4	thermophile	TP	9
growth_temperature	strain	Fold4	thermophile	FP	0
growth_temperature	strain	Fold4	thermophile	FN	5
growth_temperature	strain	Fold4	thermophile	TN	389
growth_temperature	strain	Fold5	hyperthermophile	TP	24
growth_temperature	strain	Fold5	hyperthermophile	FP	0
growth_temperature	strain	Fold5	hyperthermophile	FN	3
growth_temperature	strain	Fold5	hyperthermophile	TN	376
growth_temperature	strain	Fold5	mesophile	TP	319
growth_temperature	strain	Fold5	mesophile	FP	0
growth_temperature	strain	Fold5	mesophile	FN	13
growth_temperature	strain	Fold5	mesophile	TN	71
growth_temperature	strain	Fold5	psychrophile	TP	25
growth_temperature	strain	Fold5	psychrophile	FP	0
growth_temperature	strain	Fold5	psychrophile	FN	6
growth_temperature	strain	Fold5	psychrophile	TN	372
growth_temperature	strain	Fold5	thermophile	TP	6
growth_temperature	strain	Fold5	thermophile	FP	0
growth_temperature	strain	Fold5	thermophile	FN	7
growth_temperature	strain	Fold5	thermophile	TN	390
growth_temperature	strain	Fold6	hyperthermophile	TP	11
growth_temperature	strain	Fold6	hyperthermophile	FP	0
growth_temperature	strain	Fold6	hyperthermophile	FN	1
growth_temperature	strain	Fold6	hyperthermophile	TN	391
growth_temperature	strain	Fold6	mesophile	TP	335
growth_temperature	strain	Fold6	mesophile	FP	0
growth_temperature	strain	Fold6	mesophile	FN	16
growth_temperature	strain	Fold6	mesophile	TN	52
growth_temperature	strain	Fold6	psychrophile	TP	16
growth_temperature	strain	Fold6	psychrophile	FP	0
growth_temperature	strain	Fold6	psychrophile	FN	9
growth_temperature	strain	Fold6	psychrophile	TN	378
growth_temperature	strain	Fold6	thermophile	TP	7
growth_temperature	strain	Fold6	thermophile	FP	0
growth_temperature	strain	Fold6	thermophile	FN	8
growth_temperature	strain	Fold6	thermophile	TN	388
growth_temperature	strain	Fold7	hyperthermophile	TP	14
growth_temperature	strain	Fold7	hyperthermophile	FP	0
growth_temperature	strain	Fold7	hyperthermophile	FN	3
growth_temperature	strain	Fold7	hyperthermophile	TN	386
growth_temperature	strain	Fold7	mesophile	TP	338
growth_temperature	strain	Fold7	mesophile	FP	0
growth_temperature	strain	Fold7	mesophile	FN	15
growth_temperature	strain	Fold7	mesophile	TN	50
growth_temperature	strain	Fold7	psychrophile	TP	14
